num_threads,omp_proc_bind,omp_places,time(s)
1, false, cores, 0.139184
1, true, cores, 0.138739
1, close, cores, 0.138418
1, spread, cores, 0.139094
1, master, cores, 0.138759
2, false, cores, 0.084717
2, true, cores, 0.073471
2, close, cores, 0.073144
2, spread, cores, 0.073268
2, master, cores, 0.288619
3, false, cores, 0.050339
3, true, cores, 0.050633
3, close, cores, 0.050422
3, spread, cores, 0.071163
3, master, cores, 0.43084
4, false, cores, 0.051628
4, true, cores, 0.039744
4, close, cores, 0.039647
4, spread, cores, 0.05632
4, master, cores, 0.576859
5, false, cores, 0.040174
5, true, cores, 0.046418
5, close, cores, 0.047977
5, spread, cores, 0.04732
5, master, cores, 0.721936
6, false, cores, 0.034566
6, true, cores, 0.041183
6, close, cores, 0.040385
6, spread, cores, 0.040457
6, master, cores, 0.868147
10, false, cores, 0.060465
10, true, cores, 0.050924
10, close, cores, 0.05035
10, spread, cores, 0.050158
10, master, cores, 0.15664
20, false, cores, 0.066784
20, true, cores, 0.071479
20, close, cores, 0.071766
20, spread, cores, 0.073853
20, master, cores, 0.175298
30, false, cores, 0.080138
30, true, cores, 0.086565
30, close, cores, 0.089321
30, spread, cores, 0.090268
30, master, cores, 0.19208
40, false, cores, 0.086559
40, true, cores, 0.097815
40, close, cores, 0.098042
40, spread, cores, 0.098724
40, master, cores, 0.211655
50, false, cores, 0.111709
50, true, cores, 0.108912
50, close, cores, 0.111162
50, spread, cores, 0.112369
50, master, cores, 0.229415
60, false, cores, 0.111503
60, true, cores, 0.122904
60, close, cores, 0.127799
60, spread, cores, 0.127857
60, master, cores, 0.248461
70, false, cores, 0.124469
70, true, cores, 0.133755
70, close, cores, 0.132767
70, spread, cores, 0.134308
70, master, cores, 0.267885
80, false, cores, 0.142618
80, true, cores, 0.143628
80, close, cores, 0.145894
80, spread, cores, 0.147902
80, master, cores, 0.287626
90, false, cores, 0.166843
90, true, cores, 0.157552
90, close, cores, 0.161064
90, spread, cores, 0.163204
90, master, cores, 0.308091
100, false, cores, 0.179331
100, true, cores, 0.170243
100, close, cores, 0.174763
100, spread, cores, 0.173222
100, master, cores, 0.325202
